色,ラベル,説明
current_pin,現在位置,インターンシップ会場です
#EF4444,【高】価格帯のお店,昼食代に1500円程度かかります
#F97316,【中】価格帯のお店,昼食代に1000円程度かかります
#FACC15,【低】価格帯のお店,"昼食代に500円程度かかります。
※ 但し、[コンビニ]の場合は貴方次第です"
